major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Enterprise Technology Integration B.S.,BA 243|BA 301|BA 303|BA 304|BLAW 243|FIN 301|IB 303|MGMT 301|MKTG 301,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,CYBER 100|CYBER 100S|HCDD 113|HCDD 113S|IST 110,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,CAS/ENGL 137H|ENGL 15|ENGL 30H,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,CMPSC 122|CMPSC 132|IST 242,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,CMPSC 121|CMPSC 131|IST 140,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,ETI 435|ETI 463|IST 440W,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,CAS 138 | ENGL 138T,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,CYBER  100,,3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,ENGL 202D,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,HCDD  264,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,ENGL 202C,; or  202D‡,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,IST  440W,", , or",3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,ACCTG 211,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,ECON 102,; or  104,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,ECON 104,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,MATH 110,; ‡,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,ETI 300W,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
Enterprise Technology Integration B.S.,MATH 140,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/enterprise-technology-integration-bs/
