major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Environmental Resource Management B.S.,ENGL 15|ENGL 30H|CAS/ENGL 137H,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,STAT 200|STAT 240|STAT 250,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,CAS 138 | ENGL 138T,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,ENGL  137H,", , ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,ENGL  138T,", ,",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,ENGL 202C,; ‡†,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,CAS  137H,", , ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,BIOL 220W,,4,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,SOILS 102,,1,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,SOILS 450,,3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,SOILS 101,; †,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,ECON  102,or †,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,GEOSC 303,or  1,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,CHEM 202,; or  210,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,ECON 102,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,CHEM 112,,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,CHEM 111,; †,1,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,CHEM 110,; †,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,CAS 100A,"; ,  138T,",3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,BIOL 110,,4,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,CHEM 210,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,AGBM 101,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,PHYS 211,; or  250†,4,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,ERM 413W,,3,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,PHYS 250,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,GEOG 260,or  160†,3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,MATH 140,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,MATH 111,or  141,24,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
Environmental Resource Management B.S.,MATH 110,; or  140‡†,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
