major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Food Science B.S.,FDSC 150S,,2.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,MICRB 201,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,MATH 140B,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 406W,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,ENGL 202C,; or  202D‡†,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,ENGL 202D,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,MICRB 202,,2.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CHEM 113,; †,1.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 400,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 201,,1.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 200,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CHEM 202,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CHEM 110,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CHEM 112,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CHEM 111,; †,1.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 405,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,CAS 100A,or  100B‡†,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,STAT 250,; ‡†,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 403,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,PHYS 250,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 404,,3.0,0,1,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 408,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,MATH 110,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 450,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 417,,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 415,,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 414,,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 413,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 411,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 410,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,FDSC 409,,2.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,BIOL 110,; †,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,BMB 211,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,ENGL 15,; ‡†,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
Food Science B.S.,BMB 212,,1.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
