major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Forestry B.S.,FOR 430 | WFS 430,,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,SOILS 102,,1,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,SOILS 101,; †,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,PPEM  318,", , or",23,0,0,1,Third Year; Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,ECON  102,", ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,ECON  104,", ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,ENGL 202C,; or  202D‡†,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,ENGL 202D,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,BIOL 220W,,4,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,STAT 200,",  240,",34,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,CHEM 110,; †,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,CHEM 111,; †,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,CHEM 202,,3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR  403,", ,",23,0,0,1,Fourth Year; Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 450W,,3,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,HORT 445,,3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,MATH 110,or  140‡†,4,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,BIOL 110,†,4,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 204,,2,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 266,,4,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 308,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 350,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 409,,2,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 410,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 421,,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 203,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 200,,1,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,ENGL 15,or  30H‡†,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
Forestry B.S.,FOR 255,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
