major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
General Science B.S.,ENGL 202C,",  202A,  202B,",3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,BIOL 220W,",  230W,  240W,",4,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,STAT 250,or  200 ‡,34,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,CAS 100A,",  100B,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,CHEM 110,; †,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,CHEM 111,,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,CHEM 112,,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,CHEM 113,,1,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,BIOL 110,; †,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,MATH 140,; or  140B ‡†,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,PHYS 213,,2,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,PHYS 214,,2,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,PHYS 250,or  211,4,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,PHYS 251,or  212,4,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,ENGL 15,",  30H,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,ESL  15,", ,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
General Science B.S.,PSU 16,,1,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/integrative-science-bs/
