major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Geosciences B.S.,GEOSC 494W,,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 472A,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 472B,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 203,,4.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 465,,4.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,EMSC 100S,; ‡†1,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 496,,1.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 201,,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 202,,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 204,,4.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 310,,4.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,ENGL 30H,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,PHYS 213,,2.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,CHEM 111,; †,1.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,CHEM 112,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,CHEM 113,,1.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,PHYS 211,; †,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,CHEM 110,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,BIOL 110,; †,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,MATH 140,; or  140G ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,MATH 141,; or  141G ‡†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,PHYS 212,,4.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,GEOSC 1,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,ESL  15,", ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
Geosciences B.S.,ENGL 15,"; ,  30H,",3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/geosciences-bs/
