major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Human Development and Family Studies B.S.,HDFS 490|HDFS 495A|HDFS 495B|HDFS 490|HDFS 495B|HDFS 495C|6 Additional Credits with Department Approval|HDFS 490|HDFS 495A|HDFS 495B|3-6 Credits of 300-/400-Level Career-Related Course Work (with Department Approval)|HDFS 494|HDFS 494H|HDFS 496|3 Credits of 400-Level HDFS|HDFS 310M|HDFS 494|HDFS 494H|HDFS 496,,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 490|HDFS 495A|HDFS 495B|HDFS 490|HDFS 495B|HDFS 495C|6 Additional Credits with Department Approval|HDFS 490|HDFS 495A|HDFS 495B|3-6 Credits of 300-/400-Level Career-Related Course Work (with Department Approval)|HDFS 494|HDFS 494H|HDFS 496|3 Credits of 400-Level HDFS|HDFS 310M|HDFS 494|HDFS 494H|HDFS 496,,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 490|HDFS 495A|HDFS 495B|HDFS 490|HDFS 495B|HDFS 495C|6 Additional Credits with Department Approval|HDFS 490|HDFS 495A|HDFS 495B|3-6 Credits of 300-/400-Level Career-Related Course Work (with Department Approval)|HDFS 494|HDFS 494H|HDFS 496|3 Credits of 400-Level HDFS|HDFS 310M|HDFS 494|HDFS 494H|HDFS 496,,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 490|HDFS 495A|HDFS 495B|HDFS 490|HDFS 495B|HDFS 495C|6 Additional Credits with Department Approval|HDFS 490|HDFS 495A|HDFS 495B|3-6 Credits of 300-/400-Level Career-Related Course Work (with Department Approval)|HDFS 494|HDFS 494H|HDFS 496|3 Credits of 400-Level HDFS|HDFS 310M|HDFS 494|HDFS 494H|HDFS 496,,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 490|HDFS 495A|HDFS 495B|HDFS 490|HDFS 495B|HDFS 495C|6 Additional Credits with Department Approval|HDFS 490|HDFS 495A|HDFS 495B|3-6 Credits of 300-/400-Level Career-Related Course Work (with Department Approval)|HDFS 494|HDFS 494H|HDFS 496|3 Credits of 400-Level HDFS|HDFS 310M|HDFS 494|HDFS 494H|HDFS 496,,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 315|HDFS 315Y|SOC 30|EDPSY 101|HDFS 200|STAT 200,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 229|HDFS 239|HDFS 249N,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 229|HDFS 239|HDFS 249N,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 129|HDFS 101N,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,EDPSY  101,", ,",34.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,STAT  200,", ,",34.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 312W,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 216,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 301,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,HDFS 311,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,SOC  451,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
Human Development and Family Studies B.S.,SOC  30,", , or",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/human-development-family-studies-bs/
