major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Information Sciences and Technology B.S.,CMPSC  101,", ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,CMPSC  121,", , or",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,ENGL 202C,; or  202D‡,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,ENGL 202D,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,MATH 140,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,MATH 110,; or  140‡,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 440W,,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,STAT 200,; ‡,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,ECON 102,or  104,3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 402,,3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,ENGL 15,",  30H,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 495,,1.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,ESL  15,", ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 432,,3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 431,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 230,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 331,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 302,or  413,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 301,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 110,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 220,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 210,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
Information Sciences and Technology B.S.,IST 240,or  242,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/information-sciences-technology-bs/
