major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Italian B.A.,IT 412|IT 422|IT 430|IT 450|IT 460|IT 470|IT 475|IT/WMNST 480|IT 485|IT 415|IT 490,,9.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,IT 412|IT 422|IT 430|IT 450|IT 460|IT 470|IT 475|IT/WMNST 480|IT 485|IT 415|IT 490,,9.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,IT 412|IT 422|IT 430|IT 450|IT 460|IT 470|IT 475|IT/WMNST 480|IT 485|IT 415|IT 490,,9.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,IT 130|IT 131|IT/CMLIT/HIST/WMNST 240Q|IT/CRIM 225N,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,ENGL  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,CAS  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,IT 330W,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,IT 325,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,IT 301,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,IT 310,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,IT 320,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
Italian B.A.,IT 399,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-ba/
