major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Italian B.S.,IT 130|IT 131|IT 225N|IT 240Q|IT 310|IT 320|IT 325|IT 330W|IT 399|IT 415|IT 490|IT 422|IT 430|IT 450|IT 460|IT 470|IT 475|IT 480|IT 485|IT 497|Other course in consultation with major adviser,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
Italian B.S.,IT 130|IT 131|IT 225N|IT 240Q|IT 310|IT 320|IT 325|IT 330W|IT 399|IT 415|IT 490|IT 422|IT 430|IT 450|IT 460|IT 470|IT 475|IT 480|IT 485|IT 497|Other course in consultation with major adviser,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
Italian B.S.,IT 130|IT 131|IT 225N|IT 240Q|IT 310|IT 320|IT 325|IT 330W|IT 399|IT 415|IT 490|IT 422|IT 430|IT 450|IT 460|IT 470|IT 475|IT 480|IT 485|IT 497|Other course in consultation with major adviser,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
Italian B.S.,IT 130|IT 131|IT 225N|IT 240Q|IT 310|IT 320|IT 325|IT 330W|IT 399|IT 415|IT 490|IT 422|IT 430|IT 450|IT 460|IT 470|IT 475|IT 480|IT 485|IT 497|Other course in consultation with major adviser,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
Italian B.S.,IT 130|IT 131|IT 225N|IT 240Q|IT 310|IT 320|IT 325|IT 330W|IT 399|IT 415|IT 490|IT 422|IT 430|IT 450|IT 460|IT 470|IT 475|IT 480|IT 485|IT 497|Other course in consultation with major adviser,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
Italian B.S.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
Italian B.S.,ENGL  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
Italian B.S.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
Italian B.S.,CAS  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
Italian B.S.,IT 301,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
Italian B.S.,IT 412,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/italian-bs/
