major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Journalism B.A.,COMM 260W,; 1,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,ENGL 202A,",  202B,  202C,",3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,CAS 100A,",  100B,",3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,COMM 160,,1.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,COMM 180,",  205,  401,  405,  410,  411,  412,  419,  496,",3.0,0,0,1,Third Year; Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,COMM 271,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,COMM 360,2,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,COMM 362,",  364,  400,  402,  466,  480,  481,",3.0,0,0,1,Fourth Year,Spring; Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,COMM 403,; or  409,3.0,1,0,1,Third Year; Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,COMM 409,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,COMM 465,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
Journalism B.A.,ENGL 15,or  30H‡,3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/journalism-ba/
