major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Kinesiology B.S.,SCM 200|STAT 200|STAT 250,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 495A,,12,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 295B,; 2,1,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 341,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 267,,1,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,PSYCH 100,†2,3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 456,,4,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 321,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 200,,3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 201,,3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 202,; 2,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 100,; 2,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 350,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 368,,2,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 345,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 384,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 101,; 2,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 367,,1,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 366,,3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,KINES 360,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,SCM  200,", ,",34,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,NUTR 251,; †,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,PHYS 250,or  150,34,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,BIOL 161,; †,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,BIOL 163,; †,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,EDPSY 10,†2,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,CHEM 101,",  106,  110,",35,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,MATH 26,2,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
Kinesiology B.S.,CI 280,†,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/kinesiology-bs/
