major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Korean B.A.,ENGL  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,CAS  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,ENGL 202B,‡,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,KOR 403Y,,4.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,KOR 110,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,KOR 120,or  121,3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,KOR 401,,4.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,KOR 402,,4.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,KOR 404,,4.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,KOR 422,",  423,  424,  425,",3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,KOR 450,",  451,",3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,KOR 2,,4.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
Korean B.A.,KOR 3,,4.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/korean-ba/
