major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Labor and Human Resources B.A.,"ACCTG 211|AFAM 100N|AFAM 110N|BA 243|BA 304|BLAW 243|CAS 203|CAS 352|ECON 342|HIST 155|MGMT 100|MGMT 301|MGMT 321|OLEAD 100|OLEAD 409|OLEAD 464|OLEAD 465|SOC 103|SOC 110|SOC 119N|Any 400-level AFAM, CAS, ECON, HIST, LTNST, MGMT, PHIL, PSYCH, SPAN, SOC, WMNST course",,6.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,"ACCTG 211|AFAM 100N|AFAM 110N|BA 243|BA 304|BLAW 243|CAS 203|CAS 352|ECON 342|HIST 155|MGMT 100|MGMT 301|MGMT 321|OLEAD 100|OLEAD 409|OLEAD 464|OLEAD 465|SOC 103|SOC 110|SOC 119N|Any 400-level AFAM, CAS, ECON, HIST, LTNST, MGMT, PHIL, PSYCH, SPAN, SOC, WMNST course",,6.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 136 | WMNST 136Y,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,HIST  458Y,", ,",3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,ENGL 202A,",  202B,  202C,",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR  458Y,", , or",3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,CAS  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,PSYCH 281,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,ECON 104,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,ECON 102,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR  202,or †1,3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 458Y,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 100,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 201,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 202,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 304,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 305,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 312,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,LHR 460,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,ECON 14,"; ,  102,",3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
Labor and Human Resources B.A.,ENGL 15,",  30H,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-ba/
