major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Labor and Human Resources B.S.,LHR 136 | WMNST 136Y,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,HIST  458Y,", ,",3.0,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,CAS  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR  458Y,", , or",3.0,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,PSYCH 281,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,ENGL 202A,",  202B,  202C,",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,STAT 200,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR  202,or †1,3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,ECON 104,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,ECON 102,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 458Y,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 100,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 202,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 304,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 305,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 312,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,ENGL 15,",  30H,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 460,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,ECON 14,"; ,  102,",3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,SCM 200,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
Labor and Human Resources B.S.,LHR 201,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/labor-human-resources-bs/
