major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Landscape Contracting B.S.,ACCTG 211,,4,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,CAS  100B,"CAS 100, , ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,ECON  102,", , ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 410W,,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,CAS  100C,"CAS 100, , ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,ECON  104,", , ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,PLANT 217,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,PPEM  300,", , , ,",23,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,PPEM  318,", , , , or",23,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,SOILS 101,; †,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,ENGL 202D,; ‡†,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 138,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 131,,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 120,,2,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
Landscape Contracting B.S.,HORT 101,; ‡†,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
