major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Management B.S.,BA 441|MGMT 341|MGMT 355|MGMT 420|MGMT 441|MGMT 443|MGMT 445|MGMT 480,,9.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,BA 441|MGMT 341|MGMT 355|MGMT 420|MGMT 441|MGMT 443|MGMT 445|MGMT 480,,9.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,BA 441|MGMT 341|MGMT 355|MGMT 420|MGMT 441|MGMT 443|MGMT 445|MGMT 480,,9.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,ENGL 15|ENGL 30H|ENGL/CAS 137H|ESL 15,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,ENGL  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,MGMT 451W,"; 1,6",3.0,1,0,1,Third Year; Fourth Year,Spring; Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,CAS  138T,"CAS 100, ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,ENGL 202D,; 1,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,ACCTG 211,"; 1,2",4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,MGMT 326,"; 1,6; 1",3.0,1,0,1,Third Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,STAT 200,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,BLAW 341,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,ECON 102,; 2,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,MATH 140,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,ECON 104,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,MGMT 301,"; 1,2",3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,MATH 110,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,MGMT 481,; 1,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,MKTG 301,"; 1,2",3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,FIN 301,"; 1,2",3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,MIS 250,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,SCM 301,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,SCM 200,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,BA 342,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,BA 411,; 5,3.0,1,0,1,Fourth Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
Management B.S.,PSU 6,,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/management-bs/
