major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Marketing B.S.,MKTG 327|MKTG 410|MKTG 422|MKTG 426|MKTG 428|MKTG 437|MKTG 440|MKTG 442|MKTG 443|MKTG 445|MKTG 449|MKTG 472|MKTG 473|MKTG 474,,9.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,MKTG 327|MKTG 410|MKTG 422|MKTG 426|MKTG 428|MKTG 437|MKTG 440|MKTG 442|MKTG 443|MKTG 445|MKTG 449|MKTG 472|MKTG 473|MKTG 474,,9.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,MKTG 327|MKTG 410|MKTG 422|MKTG 426|MKTG 428|MKTG 437|MKTG 440|MKTG 442|MKTG 443|MKTG 445|MKTG 449|MKTG 472|MKTG 473|MKTG 474,,9.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,ENGL  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,CAS  138T,"CAS 100, ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,MKTG 450W,"; 1,6",3.0,1,0,1,Fourth Year,Spring; Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,BLAW  341,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,ENGL 202D,; 1,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,ACCTG 211,"; 1,2",4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,STAT 200,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,MKTG 301,"; 1,2",3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,MGMT 301,"; 1,2",3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,ECON 104,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,MATH 110,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,ECON 102,; 2,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,MATH 140,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,MKTG 342,"; or  3301,7",3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,BLAW 341,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,MKTG 330,"; or  3421,7",3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,FIN 301,"; 1,2",3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,BA  342,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,SCM 200,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,SCM 301,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,MIS 250,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,BA 411,; 5,3.0,1,0,1,Fourth Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,BA 342,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
Marketing B.S.,PSU 6,,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/marketing-bs/
