major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Mathematics B.A.,MATH 411|MATH 412|MATH 417|MATH 419|MATH 421,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,CMPSC 101|CMPSC 121|CMPSC 131|CMPSC 201,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 311W,,34; 3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,ENGL 202C,",  202A,  202B,",3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,CAS 100A,",  100B,",3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,STAT 200,,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 140,; ‡†,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 141,; ‡†,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 220,,23; 3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 230,,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 250,; or  251,34,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 312,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 251,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 435,; or  436,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 436,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,MATH 403,,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,ESL  15,", ,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,ENGL 15,",  30H,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
Mathematics B.A.,PSU 16,,1,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-ba/
