major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Mathematics B.S.,CMPSC 101|CMPSC 121|CMPSC 131|CMPSC 200|CMPSC 201,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 415 | STAT 415,,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 416 | STAT 416,,3,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 414 | STAT 414,,3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,ENGL 202C,",  202A,  202B,",3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 311W,,34; 3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,STAT 200,,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,ECON 102,,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,ECON 104,,3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 140,; ‡†,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 141,; ‡†,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 220,,23; 3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 230,,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 251,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 312,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 451,or  486,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 484,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,CAS 100A,",  100B,",3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,MATH 250,; or  251,34,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,ESL  15,", ,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,ENGL 15,",  30H,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,PSU 16,,1,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,RM 302,,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,RM 410,,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,RM 411,,3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
Mathematics B.S.,RM 421,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-bs/
