major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Mechanical Engineering B.S.,BIOL 141|BIOL 161|CHEM 111|PHYS 214|CHEM 112,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ECON 14|ECON 102|ECON 104,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,EDSGN 100,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,MATSE 259,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,ENGL 202C,; ‡†,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,CMPSC 200,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,CMPSC 201,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,EMCH 212,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,PHYS 212,; †,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,CHEM 110,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,CAS 100B,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,EMCH 211,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,CAS 100A,; or  100B‡†,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,EMCH 213,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
Mechanical Engineering B.S.,MATH 220,,23.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/mechanical-engineering-bs/
