major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Media Studies B.A.,COMM 100N,,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,COMM 413W,,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,ENGL 202A,",  202B,  202C,",3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,PSYCH 100,†,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,CAS 100A,",  100B,",3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,COMM 118,,3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,COMM 160,,1,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,COMM 205,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,COMM 270,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,COMM 304,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,COMM 305,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,COMM 325,",  326,  327,",3,0,0,1,Third Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,COMM 405,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,COMM 418,,3,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,ENGL 15,‡,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
Media Studies B.A.,PSU 9,,1,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-ba/
