major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Medieval Studies B.A.,ARTH 201|ARTH 312|ARTH 402|ARTH 412|ARTH 422|ARTH 442|ARTH 452|HIST 105|HIST 108|HIST 141|HIST 165|HIST 407|HIST 408|HIST 411|HIST 412|HIST 413|HIST 471Y|HIST 480|CMLIT 1|CMLIT 106|CMLIT 401Y|CMLIT 408|ENGL 221W|ENGL 441|ENGL 442|FR 351|GER 175|GER 430|GER 431|HEBR 10|IT 415|IT 490|SPAN 130|SPAN 353|SPAN 418|MEDVL 197|MEDVL 199|MEDVL 294|MEDVL 299|MEDVL 395|MEDVL 399|MEDVL 411|MEDVL 413|MEDVL 494|MEDVL 496|MEDVL 497|MEDVL 499|PHIL 201|RLST 120|RLST 420,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 201|ARTH 312|ARTH 402|ARTH 412|ARTH 422|ARTH 442|ARTH 452|HIST 105|HIST 108|HIST 141|HIST 165|HIST 407|HIST 408|HIST 411|HIST 412|HIST 413|HIST 471Y|HIST 480|CMLIT 1|CMLIT 106|CMLIT 401Y|CMLIT 408|ENGL 221W|ENGL 441|ENGL 442|FR 351|GER 175|GER 430|GER 431|HEBR 10|IT 415|IT 490|SPAN 130|SPAN 353|SPAN 418|MEDVL 197|MEDVL 199|MEDVL 294|MEDVL 299|MEDVL 395|MEDVL 399|MEDVL 411|MEDVL 413|MEDVL 494|MEDVL 496|MEDVL 497|MEDVL 499|PHIL 201|RLST 120|RLST 420,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 201|ARTH 312|ARTH 402|ARTH 412|ARTH 422|ARTH 442|ARTH 452|HIST 105|HIST 108|HIST 141|HIST 165|HIST 407|HIST 408|HIST 411|HIST 412|HIST 413|HIST 471Y|HIST 480|CMLIT 1|CMLIT 106|CMLIT 401Y|CMLIT 408|ENGL 221W|ENGL 441|ENGL 442|FR 351|GER 175|GER 430|GER 431|HEBR 10|IT 415|IT 490|SPAN 130|SPAN 353|SPAN 418|MEDVL 197|MEDVL 199|MEDVL 294|MEDVL 299|MEDVL 395|MEDVL 399|MEDVL 411|MEDVL 413|MEDVL 494|MEDVL 496|MEDVL 497|MEDVL 499|PHIL 201|RLST 120|RLST 420,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 201|ARTH 312|ARTH 402|ARTH 412|ARTH 422|ARTH 442|ARTH 452|HIST 105|HIST 108|HIST 141|HIST 165|HIST 407|HIST 408|HIST 411|HIST 412|HIST 413|HIST 471Y|HIST 480|CMLIT 1|CMLIT 106|CMLIT 401Y|CMLIT 408|ENGL 221W|ENGL 441|ENGL 442|FR 351|GER 175|GER 430|GER 431|HEBR 10|IT 415|IT 490|SPAN 130|SPAN 353|SPAN 418|MEDVL 197|MEDVL 199|MEDVL 294|MEDVL 299|MEDVL 395|MEDVL 399|MEDVL 411|MEDVL 413|MEDVL 494|MEDVL 496|MEDVL 497|MEDVL 499|PHIL 201|RLST 120|RLST 420,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 201|ARTH 312|ARTH 402|ARTH 412|ARTH 422|ARTH 442|ARTH 452|HIST 105|HIST 108|HIST 141|HIST 165|HIST 407|HIST 408|HIST 411|HIST 412|HIST 413|HIST 471Y|HIST 480|CMLIT 1|CMLIT 106|CMLIT 401Y|CMLIT 408|ENGL 221W|ENGL 441|ENGL 442|FR 351|GER 175|GER 430|GER 431|HEBR 10|IT 415|IT 490|SPAN 130|SPAN 353|SPAN 418|MEDVL 197|MEDVL 199|MEDVL 294|MEDVL 299|MEDVL 395|MEDVL 399|MEDVL 411|MEDVL 413|MEDVL 494|MEDVL 496|MEDVL 497|MEDVL 499|PHIL 201|RLST 120|RLST 420,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 201|ARTH 312|ARTH 402|ARTH 412|ARTH 422|ARTH 442|ARTH 452|HIST 105|HIST 108|HIST 141|HIST 165|HIST 407|HIST 408|HIST 411|HIST 412|HIST 413|HIST 471Y|HIST 480|CMLIT 1|CMLIT 106|CMLIT 401Y|CMLIT 408|ENGL 221W|ENGL 441|ENGL 442|FR 351|GER 175|GER 430|GER 431|HEBR 10|IT 415|IT 490|SPAN 130|SPAN 353|SPAN 418|MEDVL 197|MEDVL 199|MEDVL 294|MEDVL 299|MEDVL 395|MEDVL 399|MEDVL 411|MEDVL 413|MEDVL 494|MEDVL 496|MEDVL 497|MEDVL 499|PHIL 201|RLST 120|RLST 420,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 201|ARTH 312|ARTH 402|ARTH 412|ARTH 422|ARTH 442|ARTH 452|HIST 105|HIST 108|HIST 141|HIST 165|HIST 407|HIST 408|HIST 411|HIST 412|HIST 413|HIST 471Y|HIST 480|CMLIT 1|CMLIT 106|CMLIT 401Y|CMLIT 408|ENGL 221W|ENGL 441|ENGL 442|FR 351|GER 175|GER 430|GER 431|HEBR 10|IT 415|IT 490|SPAN 130|SPAN 353|SPAN 418|MEDVL 197|MEDVL 199|MEDVL 294|MEDVL 299|MEDVL 395|MEDVL 399|MEDVL 411|MEDVL 413|MEDVL 494|MEDVL 496|MEDVL 497|MEDVL 499|PHIL 201|RLST 120|RLST 420,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,ARTH 201|ARTH 312|ARTH 402|ARTH 412|ARTH 422|ARTH 442|ARTH 452|HIST 105|HIST 108|HIST 141|HIST 165|HIST 407|HIST 408|HIST 411|HIST 412|HIST 413|HIST 471Y|HIST 480|CMLIT 1|CMLIT 106|CMLIT 401Y|CMLIT 408|ENGL 221W|ENGL 441|ENGL 442|FR 351|GER 175|GER 430|GER 431|HEBR 10|IT 415|IT 490|SPAN 130|SPAN 353|SPAN 418|MEDVL 197|MEDVL 199|MEDVL 294|MEDVL 299|MEDVL 395|MEDVL 399|MEDVL 411|MEDVL 413|MEDVL 494|MEDVL 496|MEDVL 497|MEDVL 499|PHIL 201|RLST 120|RLST 420,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,MEDVL 108,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,MEDVL 107,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
Medieval Studies B.A.,HIST 107,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/medieval-studies-ba/
