major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Meteorology and Atmospheric Science B.S.,CMPSC  201,", , , ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,METEO 440W,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,METEO 431,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,ENGL 202C,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,STAT  401,STAT 301 or,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,METEO 411,,4.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,METEO 421,,4.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,EMSC 100S,; ‡†1,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,METEO 436,",  437,",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,METEO 470,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,METEO 473,or  474,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,METEO 300,,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,METEO 201,,3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,MATH 251,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,CHEM 110,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,MATH 230,2,4.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,MATH 141,; or  141G ‡†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,MATH 140,; or  140G ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,ENGL 30H,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,PHYS 211,; †,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,PHYS 212,; †,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,ESL  15,", ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,ENGL 15,"; ,  30H,",3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
Meteorology and Atmospheric Science B.S.,CAS 100,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/meteorology-atmospheric-science-bs/
