major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Microbiology B.S.,MATH 141|STAT 200|STAT 240|STAT 250,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,BMB 252 | MICRB 252,"1,3",3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,BMB 251 | MICRB 251,"1,3,4",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,MICRB 421W,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,MICRB 201,; 1,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,MICRB 203,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,MICRB 401,; 2,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,STAT  250,", , ,",34,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,STAT  240,", , ,",34,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,MICRB 415,"2,4",3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,CHEM 213W,,2,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,MICRB 202,; or  203,2,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,MICRB 450,; 2,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,CHEM 112,; †,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,CHEM 113,; †,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,CHEM 111,; †,1,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,CHEM 110,; †,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,CAS 100A,",  100B,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,CHEM 212,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,CHEM 210,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,PHYS 250,,4,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,MATH 140,; ‡†,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,PPEM 456,; 2,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,PHYS 251,,4,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,PHYS 212,; or  251,3; 4,0,1,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,PHYS 211,; or  250 †,3; 4,0,1,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,BIOL 322,"3,4",3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,BMB 400,; 2,2,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,ENGL 15,or  30H ‡,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,BMB 442,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,BMB 402,; 2,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
Microbiology B.S.,BMB 401,; 2,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/microbiology-bs/
