major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Multidisciplinary Studies B.A.,12 credits at the 400 level representing at least three different subject areas|3 credit 400-level capstone course|A minimum 9 credits from the humanities and social sciences,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,12 credits at the 400 level representing at least three different subject areas|3 credit 400-level capstone course|A minimum 9 credits from the humanities and social sciences,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,12 credits at the 400 level representing at least three different subject areas|3 credit 400-level capstone course|A minimum 9 credits from the humanities and social sciences,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,12 credits at the 400 level representing at least three different subject areas|3 credit 400-level capstone course|A minimum 9 credits from the humanities and social sciences,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,12 credits at the 400 level representing at least three different subject areas|3 credit 400-level capstone course|A minimum 9 credits from the humanities and social sciences,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,12 credits at the 400 level representing at least three different subject areas|3 credit 400-level capstone course|A minimum 9 credits from the humanities and social sciences,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,12 credits at the 400 level representing at least three different subject areas|3 credit 400-level capstone course|A minimum 9 credits from the humanities and social sciences,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,12 credits at the 400 level representing at least three different subject areas|3 credit 400-level capstone course|A minimum 9 credits from the humanities and social sciences,,24.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,ENGL  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,CAS  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
Multidisciplinary Studies B.A.,ENGL 202A,",  202B,  202C,",3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/multidisciplinary-studies-ba/
