major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Music B.A.,MUSIC 476W,,3,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 221,,1,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,ENGL 202A,",  202B,  202C,",3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 101,,1,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 121,,1,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 122,,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 131,,2,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 162,,2,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 132,,2,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 222,,1,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 231,,2,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 261,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 262,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 270,,1,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 332,,2,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,MUSIC 40,,1,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,CAS 100A,",  100B,",3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
Music B.A.,ENGL 15,",  15A,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/music-ba/
