major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Nuclear Engineering B.S.,BME 406|NUCE 405|NUCE 408|NUCE 409|NUCE 428|NUCE 470|NUCE 490|NUCE 496|NUCE 497|500-level NUCE courses with approval of adviser,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,BME 406|NUCE 405|NUCE 408|NUCE 409|NUCE 428|NUCE 470|NUCE 490|NUCE 496|NUCE 497|500-level NUCE courses with approval of adviser,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,EBF 200|ECON 102|ECON 104,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,ENGL 202C,; ‡†,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 310W,,2.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 431W,,4.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,EDSGN 100,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,CMPSC 200,; or  201,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,CMPSC 201,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,EMCH 212,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,EMCH 315,,2.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 321,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,CHEM 110,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,CHEM 111,,1.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,EMCH 211,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 297,,1.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 301,,4.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,EMCH 316,,1.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,ENGL 30H,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,MATH 140,; or  140E ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,MATH 141,; or  141E ‡†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,MATH 230,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,CAS 100A,; or  100B ‡†,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,EMCH 213,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,CAS 100B,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 309,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 430,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 322,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 403,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,PHYS 212,; †,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,MATH 251,,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 420,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 302,,4.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 450,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,NUCE 451,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,PHYS 211,; †,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,PHYS 214,,2.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,ENGL 15,"; ,  30H,",3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,ESL  15,", ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
Nuclear Engineering B.S.,EE 212,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/nuclear-engineering-bs/
