major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Nursing B.S.,MICRB 106,; †,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,PSYCH 100,; †,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 450B,,3,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 450A,,2,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,ENGL 202A,",  202B,  202C,",3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 405A,,4,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 405B,,4,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,MICRB 107,; †,1,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 200W,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,STAT 250,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,BIOL 164,; †,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,CAS 100A,",  100B,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,CHEM 111,or &,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,CHEM 130,; or  110 and  1113,34,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 230,,4,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,HDFS 129,; †,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 100,2,1,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 225,,3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 301,,4,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 250,,2,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 251,,3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,BIOL 163,; † 1,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 306,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,BIOL 162,; † 1,1,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 302,,1,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,STAT 200,; or  250‡†,34,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NUTR 251,; †,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 480,,2,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 420,,4,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 305,,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 415,,4,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,BIOL 161,; † 1,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 350,,2,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 320,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,NURS 310,,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,ENGL 15,or  30H‡,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,SOC 1,; or  5,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
Nursing B.S.,SOC 5,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/nursing/nursing-bsn/
