major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Pharmacology and Toxicology B.S.,VBSC 431 | ERM 431,,3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 433 | BMB 433,,3,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BBH 440 | HPA 440,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BIOL 230W,,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 213W,,2,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BIOL 240W,; or  141,3; 34,0,1,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,ENGL 202C,‡†,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BIOL 220W,,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 111,; †,1,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,PHYS 251,,4,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 113,; †,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 210,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 212,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,BIOL 110,; †,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,MATH 140,; ‡†,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,MATH 141,; ‡†,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,PHYS 250,,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,CHEM 112,; †,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,STAT 250,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,STAT 200,; or  250,34,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 230,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 331,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 395,; or  496,23; 03,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 430,,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 438,,3,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
Pharmacology and Toxicology B.S.,VBSC 496,; or  395,3; 03,0,1,1,Third Year; Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/pharmacology-toxicology-bs/
