major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Physics B.S.,CMPSC 101|CMPSC 121|CMPSC 131|CMPSC 200|CMPSC 201|CMPSC 204,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 457W,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,ENGL 202C,; ‡,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 220,,23; 2,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CHEM 111,; †,1,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CHEM 112,; †,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 140,; ‡†,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 141,; ‡†,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CHEM 110,; ‡†,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 230,,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 232,or &,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 251,,4,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,CAS 100A,",  100B,",3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 211,,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 212,,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 214,; &,2; 4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 237,,34; 3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 400,,34; 4,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 410,,34; 4,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 444,,2,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 419,; or  402; or  458,3; 34,1,0,1,Third Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,MATH 252,or &,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 420,; or  457W2,3; 34,1,0,1,Fourth Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,PHYS 213,,2,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,ESL  15,", ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
Physics B.S.,ENGL 15,",  30H,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/physics-bs/
