major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Plant Sciences B.S.,MATH 22|MATH 26|MATH 40|MATH 41|MATH 110|MATH 111|MATH 140|MATH 141|MATH 141B,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,AGBM 101|ECON 14|ECON 102|ECON 104,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,STAT 200|STAT 240|STAT 250,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,SOILS  412W,", , or",34,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,HORT  412W,", ,",34,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,AGECO  496,", AGECO 134, , , or",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,SOILS  418,", , , , , , , or",3,0,0,1,Third Year,Spring; Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,AGECO  154,", AGECO 134, , ,",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,SOILS 102,,1,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,MATH  140,", , MATH 40, , ,",35,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,AGECO 295,,1,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,AGECO 438,,4,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,AGECO 457,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,AGECO 495,,3; 1,0,1,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,SOILS 402,,3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,SOILS 401,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,ECON  104,", , ,",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
Plant Sciences B.S.,ECON  102,", , ,",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
