major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Political Science B.S.,GEOG 363|GEOG 364|PLSC 410|STAT 380|STAT 461|STAT 462|STAT 463|STAT 466|Courses from a department approved list,,9.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,GEOG 363|GEOG 364|PLSC 410|STAT 380|STAT 461|STAT 462|STAT 463|STAT 466|Courses from a department approved list,,9.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,GEOG 363|GEOG 364|PLSC 410|STAT 380|STAT 461|STAT 462|STAT 463|STAT 466|Courses from a department approved list,,9.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,LA 495|PLSC 494|PLSC 496|Data intensive course from a department list,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 1|PLSC 3|PLSC 7N|PLSC 14|PLSC 17N,,9.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 1|PLSC 3|PLSC 7N|PLSC 14|PLSC 17N,,9.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 1|PLSC 3|PLSC 7N|PLSC 14|PLSC 17N,,9.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,CMPSC 101|CMPSC 121|CMPSC 203,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,ENGL  138T,"CAS 100, , , , ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,ENGL 202A,",  202B,  202C,",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,CAS  138T,"CAS 100, , , , ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,MATH 110,; or  140 ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 309,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,MATH 140,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 308,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 300,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,STAT 184,,2.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,PLSC 10,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
Political Science B.S.,ESL  15,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/political-science-bs/
