major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Premedical-Medical B.S.,BIOL 230W|BIOL/VBSC 421|BIOL 437|BIOL 440|BIOL 472|BIOL 473|MICRB 201|MICRB 202|PHIL/BIOET 432|CAS 453|NURS 464,,4.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 213W,,2,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,MATH 140B,or  140 ‡†,4,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,MATH 141B,or  141 ‡†,4,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,ENGL 202C,",  202A,  202B,",3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 210,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 212,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CAS 100A,",  100B,",3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 110,; †,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 111,; †,1,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 112,; †,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,CHEM 113,; †,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,PHYS 212,,4,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,STAT 250,,3,0,1,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,PHYS 211,,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,PHYS 213,,2,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,PHYS 214,,2,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,STAT 200,,34,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BIOL 110,; †,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BMB 401,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,ESL  15,", ,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,ENGL 15,",  30H,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,BMB 402,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,PSU 16,,1,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,SC 294,,1,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
Premedical-Medical B.S.,SC 494,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/premedical-medical-bs/
