major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Rehabilitation and Human Services B.S.,ANTH 21|BIOL 110|BIOL 133|BIOL 141|BISC 1|BISC 2|BISC 3|BISC 4|EDPSY 101|STAT 100|STAT 200,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,CNED 401|CNED 416|CNED 421|CNED 422|RHS 226|RHS 410|RHS 428|RHS 433|SPLED 400|SPLED 461,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,CNED 401|CNED 416|CNED 421|CNED 422|RHS 226|RHS 410|RHS 428|RHS 433|SPLED 400|SPLED 461,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,ENGL 202A,or  202B,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,PSYCH 100,; †,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,EDPSY  10,", ,",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,PSYCH 270,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,HDFS  239,", ,",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,STAT  100,", ,",34,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,STAT  200,", ,",34,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,CAS 100A,,3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 400W,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,SOC 119N,; †,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 495A,; 2,12; 612,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,EDUC 100,,1,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 301,; 1,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 100,; †1,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,BISC  3,", , , , , , ,",34,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,BISC  4,", , , , , , ,",34,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,ENGL 15,or  30H,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 300,; 1,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 403,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 302,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 303,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 402,,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 401,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,RHS 493,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,CI 185,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
Rehabilitation and Human Services B.S.,SOC  1,or †,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/rehabilitation-human-services-bs/
