major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Russian B.A.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
Russian B.A.,CAS 100A,",  100B,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
Russian B.A.,RUS 141Y,; or  142Y,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
Russian B.A.,RUS 142Y,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
Russian B.A.,ESL  15,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
Russian B.A.,RUS 100,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
Russian B.A.,RUS 200,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
Russian B.A.,RUS 401,"; ,  402,",4.0; 3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
Russian B.A.,RUS 405,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
Russian B.A.,RUS 420,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
Russian B.A.,RUS 3,,4.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/russian-ba/
