major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Security and Risk Analysis B.S.,AGBM  101,", , or",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,STAT  460,,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,MATH  140,", , MATH 40, , , or",35,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,MATH  110,", , MATH 40, , ,",35,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,PSYCH 100,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,ENGL 202D,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,ENGL 202C,; or  202D‡,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,GEOG  128,", , or",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,ECON 102,",  104,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 311W,,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 440W,,3,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,STAT 200,; ‡,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,STAT 460,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 211,,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 111,,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,IST 140,,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,IST 210,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,IST 432,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,IST 452,,3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,IST 495,,1,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,IST 110,,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 433,,3,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,ESL  15,", ,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 231,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 268,,3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 365,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 421,,3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 468,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,ENGL 15,",  30H,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SRA 221,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SOC  5,,3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,PLSC 1,",  14,",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
Security and Risk Analysis B.S.,SOC 5,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-bs/
