major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Special Education B.S.,AFAM 147|CAMS 1|CAMS 45|CMLIT 1|CMLIT 3|CMLIT 4|CMLIT 5|CMLIT 6|CMLIT 10|CMLIT 100|CMLIT 101|CMLIT 105|CMLIT 106|CMLIT 107|CMLIT 108|CMLIT 109|CMLIT 110|CMLIT 112N|CMLIT 120|CMLIT 122|CMLIT 130|CMLIT 131|CMLIT 132|CMLIT 143|CMLIT 153|CMLIT 184|ENGL 2|ENGL 101|ENGL 103|ENGL 104|ENGL 129|ENGL 130|ENGL 133|ENGL 134|ENGL 135|ENGL 136|ENGL 140|ENGL 145|ENGL 170N|ENGL 180|ENGL 181C|ENGL 182|ENGL 184|ENGL 191|ENGL 192|ENGL 194|ENGL 200|ENGL 201|ENGL 205|ENGL 221|ENGL 222|ENGL 224N|ENGL 226|ENGL 228|ENGL 231|ENGL 232|ENGL 233N|ENGL 240|ENGL 262|ENGL 265|ENGL 268|LLED 215N|WMNST 106N,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,CSD 218|RHS 402|RHS 403|RHS 404|RHS/LHR 410|RHS 433|SPLED 461|SPLED 462,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 409B,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 495D,,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 409C,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 409A,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 495E,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 395W,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 495F,; 2,12.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 495G,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 454,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,ENGL 202A,or  202B†,3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,EDPSY 101,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 411,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 410,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,EDTHP 115,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 401,,4.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 404,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 418,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,PSYCH 100,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 415,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 412,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,SPLED 425,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,PSYCH 212,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,EDUC 100,,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,MATH 200,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,EDPSY 11,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,EDPSY 14,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,CAS 100A,†,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,ENGL 15,or  30H,3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
Special Education B.S.,CI 280,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/special-education-bs/
