major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Turfgrass Science B.S.,PLANT 150S,,2.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 436W,,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,CAS  100B,"CAS 100, , ,",3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,CAS  100C,"CAS 100, , ,",3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,SOILS 101,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,HORT  101,or †,3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,ENGL 202C,; or  202D‡†,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,ENGL 202D,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,METEO 101,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,CHEM 202,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,BIOL 110,,3.0; 4.0,0,1,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,HORT 101,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,BIOL 127,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,CHEM 130,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,CHEM 110,; or  130,3.0,0,1,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,CHEM 101,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,PPEM 412,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 495,,3.0; 1.0,1,0,1,Third Year; Fourth Year,Spring; Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 434,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 490,,1.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 435,,4.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 425,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 307,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 238,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 230,,1.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,STAT 200,; ‡†,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,TURF 235,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,AGBM 106,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,METEO 3,; or  101†,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,ESL  15,", ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,ENT 317,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,ENGL 15,",  30H,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
Turfgrass Science B.S.,MATH 21,; ‡†,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
