major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Veterinary and Biomedical Sciences B.S.,CHEM 202|CHEM 203|CHEM 210|CHEM 212|CHEM 213,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,CHEM 202|CHEM 203|CHEM 210|CHEM 212|CHEM 213,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,AGBM 101|BA 100|ECON 14|ECON 102|ECON 104,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,BMB 211|BMB 212|BMB 221|BMB 401|BMB 402,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,BMB 211|BMB 212|BMB 221|BMB 401|BMB 402,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,BIOL 220W|BIOL 230W|BIOL 240W|BMB 251,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,VBSC 421 | BIOL 421,,4,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,MICRB 201H,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,ENGL 202C,4,3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,ANSC  423,,3,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,MATH 141B,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
Veterinary and Biomedical Sciences B.S.,MATH 140B,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
