major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Wildlife and Fisheries Science B.S.,ANSC 322|BIOL 133|BIOL 222|BIOL 230W,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,AEE 440|ENGL 416|ENGL 418,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,CAS  100B,"CAS 100, , ,",3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,ANSC  322,", , , or",34,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,SOILS 101,; †,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,STAT  460,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,ENGL  416,", ,",3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,ENGL  418,", , or",3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,CAS  100C,"CAS 100, , ,",3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,BIOL 240W,,4,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,BIOL 220W,,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,ENGL 202C,; ‡†,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,BIOL  142,",  and ,",34,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,BIOL  446,",  and , or",34,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,WFS 463W,,3,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,CHEM 110,; †,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,CHEM 111,; †,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,ECON 104,; †,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,BIOL 110,; †,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,CHEM 202,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
Wildlife and Fisheries Science B.S.,WFS 209N,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
