major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Women's Studies B.S.,6 credits of arts and humanities courses from the following:|WMNST 83N|WMNST 101|WMNST 102|WMNST 104|WMNST 106N|WMNST 117|WMNST 137|WMNST 194|WMNST 407W|WMNST 438|WMNST 462|WMNST 466|WMNST 490|9 credits of natural|social sciences courses from the following:|WMNST 100|WMNST 103|WMNST 110|WMNST 116|WMNST 136|WMNST 157|WMNST 202N|WMNST 205|WMNST 412|WMNST 426Y|WMNST 420|WMNST 423|WMNST 424|WMNST 428|WMNST 452|WMNST 453|WMNST 455|WMNST 456|WMNST 458|WMNST 471|WMNST 476W|6 credits that focus on women’s health and sexuality|women in science and technology from the following:|WMNST 157|WMNST 205|WMNST 452|WMNST 458|3 credits that focus on non-Western women from the following:|WMNST 102|WMNST 202N|WMNST 420|WMNST 476W|3 credits that focus on women of color in the United States from the following:|WMNST 101|WMNST 103|WMNST 136|WMNST 205,,27.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
Women's Studies B.S.,6 credits of arts and humanities courses from the following:|WMNST 83N|WMNST 101|WMNST 102|WMNST 104|WMNST 106N|WMNST 117|WMNST 137|WMNST 194|WMNST 407W|WMNST 438|WMNST 462|WMNST 466|WMNST 490|9 credits of natural|social sciences courses from the following:|WMNST 100|WMNST 103|WMNST 110|WMNST 116|WMNST 136|WMNST 157|WMNST 202N|WMNST 205|WMNST 412|WMNST 426Y|WMNST 420|WMNST 423|WMNST 424|WMNST 428|WMNST 452|WMNST 453|WMNST 455|WMNST 456|WMNST 458|WMNST 471|WMNST 476W|6 credits that focus on women’s health and sexuality|women in science and technology from the following:|WMNST 157|WMNST 205|WMNST 452|WMNST 458|3 credits that focus on non-Western women from the following:|WMNST 102|WMNST 202N|WMNST 420|WMNST 476W|3 credits that focus on women of color in the United States from the following:|WMNST 101|WMNST 103|WMNST 136|WMNST 205,,27.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
Women's Studies B.S.,6 credits of arts and humanities courses from the following:|WMNST 83N|WMNST 101|WMNST 102|WMNST 104|WMNST 106N|WMNST 117|WMNST 137|WMNST 194|WMNST 407W|WMNST 438|WMNST 462|WMNST 466|WMNST 490|9 credits of natural|social sciences courses from the following:|WMNST 100|WMNST 103|WMNST 110|WMNST 116|WMNST 136|WMNST 157|WMNST 202N|WMNST 205|WMNST 412|WMNST 426Y|WMNST 420|WMNST 423|WMNST 424|WMNST 428|WMNST 452|WMNST 453|WMNST 455|WMNST 456|WMNST 458|WMNST 471|WMNST 476W|6 credits that focus on women’s health and sexuality|women in science and technology from the following:|WMNST 157|WMNST 205|WMNST 452|WMNST 458|3 credits that focus on non-Western women from the following:|WMNST 102|WMNST 202N|WMNST 420|WMNST 476W|3 credits that focus on women of color in the United States from the following:|WMNST 101|WMNST 103|WMNST 136|WMNST 205,,27.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
Women's Studies B.S.,6 credits of arts and humanities courses from the following:|WMNST 83N|WMNST 101|WMNST 102|WMNST 104|WMNST 106N|WMNST 117|WMNST 137|WMNST 194|WMNST 407W|WMNST 438|WMNST 462|WMNST 466|WMNST 490|9 credits of natural|social sciences courses from the following:|WMNST 100|WMNST 103|WMNST 110|WMNST 116|WMNST 136|WMNST 157|WMNST 202N|WMNST 205|WMNST 412|WMNST 426Y|WMNST 420|WMNST 423|WMNST 424|WMNST 428|WMNST 452|WMNST 453|WMNST 455|WMNST 456|WMNST 458|WMNST 471|WMNST 476W|6 credits that focus on women’s health and sexuality|women in science and technology from the following:|WMNST 157|WMNST 205|WMNST 452|WMNST 458|3 credits that focus on non-Western women from the following:|WMNST 102|WMNST 202N|WMNST 420|WMNST 476W|3 credits that focus on women of color in the United States from the following:|WMNST 101|WMNST 103|WMNST 136|WMNST 205,,27.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
Women's Studies B.S.,6 credits of arts and humanities courses from the following:|WMNST 83N|WMNST 101|WMNST 102|WMNST 104|WMNST 106N|WMNST 117|WMNST 137|WMNST 194|WMNST 407W|WMNST 438|WMNST 462|WMNST 466|WMNST 490|9 credits of natural|social sciences courses from the following:|WMNST 100|WMNST 103|WMNST 110|WMNST 116|WMNST 136|WMNST 157|WMNST 202N|WMNST 205|WMNST 412|WMNST 426Y|WMNST 420|WMNST 423|WMNST 424|WMNST 428|WMNST 452|WMNST 453|WMNST 455|WMNST 456|WMNST 458|WMNST 471|WMNST 476W|6 credits that focus on women’s health and sexuality|women in science and technology from the following:|WMNST 157|WMNST 205|WMNST 452|WMNST 458|3 credits that focus on non-Western women from the following:|WMNST 102|WMNST 202N|WMNST 420|WMNST 476W|3 credits that focus on women of color in the United States from the following:|WMNST 101|WMNST 103|WMNST 136|WMNST 205,,27.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
Women's Studies B.S.,6 credits of arts and humanities courses from the following:|WMNST 83N|WMNST 101|WMNST 102|WMNST 104|WMNST 106N|WMNST 117|WMNST 137|WMNST 194|WMNST 407W|WMNST 438|WMNST 462|WMNST 466|WMNST 490|9 credits of natural|social sciences courses from the following:|WMNST 100|WMNST 103|WMNST 110|WMNST 116|WMNST 136|WMNST 157|WMNST 202N|WMNST 205|WMNST 412|WMNST 426Y|WMNST 420|WMNST 423|WMNST 424|WMNST 428|WMNST 452|WMNST 453|WMNST 455|WMNST 456|WMNST 458|WMNST 471|WMNST 476W|6 credits that focus on women’s health and sexuality|women in science and technology from the following:|WMNST 157|WMNST 205|WMNST 452|WMNST 458|3 credits that focus on non-Western women from the following:|WMNST 102|WMNST 202N|WMNST 420|WMNST 476W|3 credits that focus on women of color in the United States from the following:|WMNST 101|WMNST 103|WMNST 136|WMNST 205,,27.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
Women's Studies B.S.,6 credits of arts and humanities courses from the following:|WMNST 83N|WMNST 101|WMNST 102|WMNST 104|WMNST 106N|WMNST 117|WMNST 137|WMNST 194|WMNST 407W|WMNST 438|WMNST 462|WMNST 466|WMNST 490|9 credits of natural|social sciences courses from the following:|WMNST 100|WMNST 103|WMNST 110|WMNST 116|WMNST 136|WMNST 157|WMNST 202N|WMNST 205|WMNST 412|WMNST 426Y|WMNST 420|WMNST 423|WMNST 424|WMNST 428|WMNST 452|WMNST 453|WMNST 455|WMNST 456|WMNST 458|WMNST 471|WMNST 476W|6 credits that focus on women’s health and sexuality|women in science and technology from the following:|WMNST 157|WMNST 205|WMNST 452|WMNST 458|3 credits that focus on non-Western women from the following:|WMNST 102|WMNST 202N|WMNST 420|WMNST 476W|3 credits that focus on women of color in the United States from the following:|WMNST 101|WMNST 103|WMNST 136|WMNST 205,,27.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
Women's Studies B.S.,6 credits of arts and humanities courses from the following:|WMNST 83N|WMNST 101|WMNST 102|WMNST 104|WMNST 106N|WMNST 117|WMNST 137|WMNST 194|WMNST 407W|WMNST 438|WMNST 462|WMNST 466|WMNST 490|9 credits of natural|social sciences courses from the following:|WMNST 100|WMNST 103|WMNST 110|WMNST 116|WMNST 136|WMNST 157|WMNST 202N|WMNST 205|WMNST 412|WMNST 426Y|WMNST 420|WMNST 423|WMNST 424|WMNST 428|WMNST 452|WMNST 453|WMNST 455|WMNST 456|WMNST 458|WMNST 471|WMNST 476W|6 credits that focus on women’s health and sexuality|women in science and technology from the following:|WMNST 157|WMNST 205|WMNST 452|WMNST 458|3 credits that focus on non-Western women from the following:|WMNST 102|WMNST 202N|WMNST 420|WMNST 476W|3 credits that focus on women of color in the United States from the following:|WMNST 101|WMNST 103|WMNST 136|WMNST 205,,27.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
Women's Studies B.S.,6 credits of arts and humanities courses from the following:|WMNST 83N|WMNST 101|WMNST 102|WMNST 104|WMNST 106N|WMNST 117|WMNST 137|WMNST 194|WMNST 407W|WMNST 438|WMNST 462|WMNST 466|WMNST 490|9 credits of natural|social sciences courses from the following:|WMNST 100|WMNST 103|WMNST 110|WMNST 116|WMNST 136|WMNST 157|WMNST 202N|WMNST 205|WMNST 412|WMNST 426Y|WMNST 420|WMNST 423|WMNST 424|WMNST 428|WMNST 452|WMNST 453|WMNST 455|WMNST 456|WMNST 458|WMNST 471|WMNST 476W|6 credits that focus on women’s health and sexuality|women in science and technology from the following:|WMNST 157|WMNST 205|WMNST 452|WMNST 458|3 credits that focus on non-Western women from the following:|WMNST 102|WMNST 202N|WMNST 420|WMNST 476W|3 credits that focus on women of color in the United States from the following:|WMNST 101|WMNST 103|WMNST 136|WMNST 205,,27.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
Women's Studies B.S.,"Quantification (GQ) and Research Methods|Values, Ethics, and Scientific Inquiry|Social and behavioral sciences, health sciences,|natural sciences",,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
Women's Studies B.S.,"Quantification (GQ) and Research Methods|Values, Ethics, and Scientific Inquiry|Social and behavioral sciences, health sciences,|natural sciences",,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/womens-studies-bs/
