major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Workforce Education and Development B.S.,WFED 495C,,10.0,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,ENGL 202A,or  202B†,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED  450,STS 245Z or,3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 395A,",  395B,",3.0,0,0,1,Third Year; Second Year; Fourth Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 207W,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,EDTHP 115,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 105,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 101,; †,1.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,ECON 104,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,EDPSY 14,; †,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,EDUC 100,,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,ECON 102,; or  104†,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 413,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,CAS 100A,,3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 323,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 441,,2.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 442,,2.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 445,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,WFED 106,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
Workforce Education and Development B.S.,ENGL 15,†,3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/workforce-education-development-bs/
