major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
World Language Education B.S.,WLED  399A,FR 440 or,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,PSYCH  412,or †,3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,SPLED 403B,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,WLED 495C,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,WLED 495B,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,WLED 412W,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,EDTHP 115,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,SPLED 400,,4.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,PSYCH 412,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,HDFS 239,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,EDUC 100,,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,CAS 100A,†,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,EDPSY 14,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,WLED 300,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,HDFS 229,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,WLED 411,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,FR 402Y,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,ENGL 15,†,3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,CI 495E,; 1,15.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,FR 316,†,3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,CI 295,,3.0; 2.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,FR 137,",  138N,",3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,FR 201,,3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,FR 202,,3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,FR 417,or  418,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,FR 331,†,3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,FR 332,,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,CI 280,; †,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,FR 351,or  352†,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
World Language Education B.S.,FR 401,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/world-languages-k-12-education-bs/
