Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Actuarial Science B.S.,ECON 104,Introductory Macroeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,FIN 301,Corporation Finance,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT 200,Elementary Statistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,RM 410,Financial Mathematics for Actuaries,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ACCTG 211,Financial and Managerial Accounting for Decision Making,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,RM 320W,Risk Management and Insurance,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MIS 250,Introduction to Problem Solving with Spreadsheet Analysis and Information Systems Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MKTG 301,Principles of Marketing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,RM 422,Short Term Actuarial Mathematics - Advanced Topics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MGMT 301,Basic Management Concepts,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,RM 412,Long Term Actuarial Mathematics - Advanced Topics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,SCM 200,Introduction to Statistics for Business,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT/MATH 415,Introduction to Mathematical Statistics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,BA 411,Analyzing Business and Industry,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,BLAW 341,"Business Law I: Introduction to Contracts, Liability Issues, and           Intellectual Property",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,RM 430,Life and Health Insurance,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,RM 421,Short Term Actuarial Mathematics - Fundamentals,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT/MATH 414,Introduction to Probability Theory,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,BA 342,"Socially Responsible, Sustainable and Ethical Business Practice",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MATH 231,Calculus of Several Variables,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ENGL 202D,Effective Writing: Business Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,RM 411,Long Term Actuarial Mathematics - Fundamentals,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ENGL 15,Rhetoric and Composition,,A,3,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ENGL 30H,Honors Rhetoric and Composition,,A,3,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ENGL/CAS 137H,Rhetoric and Civic Life I,,A,3,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ESL 15,ESL Composition for American Academic Communication II,,A,3,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT 380,Data Science Through Statistical Reasoning and Computation,,B,3,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT 462,Applied Regression Analysis,,B,3,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT 483,Statistical  Programming in SAS,,B,3,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
