Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Aerospace Engineering B.S.,AERSP 304,Dynamics and Control of Aerospace Systems,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,AERSP 450,Orbit and Attitude Control of Spacecraft,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,MATH 220,Matrices,2-3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,ENGL 30H,Honors Rhetoric and Composition,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,MATH 251,Ordinary and Partial Differential Equations,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,AERSP 311,Aerodynamics I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,CAS 100B,Effective Speech,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,MATH 250,Ordinary Differential Equations,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,EMCH 316,Experimental Determination of Mechanical Response of Materials,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,ME 201,Introduction to Thermal Science,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,EMCH 212,Dynamics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,AERSP 410,Aerospace Propulsion,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,AERSP 313,Aerospace Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,AERSP 312,Aerodynamics II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,AERSP 306,Aeronautics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,AERSP 305W,Aerospace Technology Laboratory,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,AERSP 309,Astronautics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,MATH 230,Calculus and Vector Analysis,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,AERSP 413,Stability and Control of Aircraft,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,EDSGN 100,Cornerstone Engineering Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,PHYS 214,General Physics:  Wave Motion and Quantum Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,EMCH 315,Mechanical Response of Engineering Materials,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,AERSP 301,Aerospace Structures,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,CAS 100A,Effective Speech,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,CMPSC 121,Introduction to Programming Techniques,,B,3,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
Aerospace Engineering B.S.,CMPSC 131,Programming and Computation I: Fundamentals,,B,3,https://bulletins.psu.edu/undergraduate/colleges/engineering/aerospace-engineering-bs/
