Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
African Studies B.A.,AFR 191,Early African History,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 105,African Biodiversity and Conservation,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 110,,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 192,Modern African History,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFAM 100N,Black Freedom Struggles,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFAM 211,Slavery and Freedom in the Black Atlantic,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFAM 302,Diversity and Health,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 150,Africa in Cinema,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 197,Special Topics,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 199,Foreign Studies,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 202N,"Women, Gender, and Feminisms in Africa",,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 294,Research Project,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 297,Special Topics,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 299,Foreign Studies,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 395,Internship,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 399,Foreign Studies,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,ARTH 335,African Art,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,ECON 102,Introductory Microeconomic Analysis and Policy,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,ECON 104,Introductory Macroeconomic Analysis and Policy,,A,15,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 403,South Africa Today,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 405,African Studies Methodologies,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR/PLSC 434,War and Development in Africa,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR/PLSC/IB 440,Globalization and Its Implications,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR/PLSC 443,Ethnic Conflict in Africa,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR/PLSC 454,Government and Politics of Africa,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR/PLSC 459,,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 464,Extractive Industries in Africa,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 494,Research Project,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 495,Internship,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 496,Independent Studies,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 497,Special Topics,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 499,Foreign Studies,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,GEOG 436,"Ecology, Economy, and Society",,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,GEOG 444,Resource Governance in Africa,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,GEOG/LER 475,,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,PLSC 481,Global Political Economy,,B,18,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
