Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Agribusiness Management B.S.,ECON 104,Introductory Macroeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 407,Farm Planning and Financial Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 106,Agribusiness Problem Solving,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,FIN 301,Corporation Finance,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 308W,Strategic Decision Making in Agribusiness,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 320,Markets and Prices: Analysis and Forecasting,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,STAT 200,Elementary Statistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,ACCTG 211,Financial and Managerial Accounting for Decision Making,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,MATH 110,Techniques of Calculus I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,MKTG 301,Principles of Marketing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,MGMT 301,Basic Management Concepts,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,MATH 140,Calculus With Analytic Geometry I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,SCM 200,Introduction to Statistics for Business,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 101,Economic Principles of Agribusiness Decision Making  2,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 102,Economics of the Food System,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 338,Agribusiness in the Global Economy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 302,Food Product Marketing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,ENGL 202D,Effective Writing: Business Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 408,Financial Decision Making for Agribusiness,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,SCM 301,Supply Chain Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
