Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Agricultural Science B.S.,CAS 100,Effective Speech,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,AEE 311,Developing Youth Leadership through Organization and Program Structure,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,ENGL 202D,Effective Writing: Business Writing,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,AEE 330W,Communication in Agricultural and Natural Resource Careers,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,AEE 460,Foundations in Leadership Development,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,AEE 440,Communication Methods and Media,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,AEE 360,Leadership Development for Small Groups,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,AEE 465,"Leadership Practices:  Power, Influences, and Impact",N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,CHEM 101,Introductory Chemistry,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,CHEM 110,Chemical Principles I,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,CHEM 130,"Introduction to General, Organic, and Biochemistry",,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,BIOL 11,Introductory Biology I and Introductory Biology II,,B,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,BIOL 12,Introductory Biology I and Introductory Biology II,,B,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,,B,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
Agricultural Science B.S.,BISC 3,Environmental Science,,B,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
