Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Agricultural and Extension Education B.S.,SOILS 101,Introductory Soil Science,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 413,Program Planning and Instructional Development,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,EDPSY 14,Learning and Instruction,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 311,Developing Youth Leadership through Organization and Program Structure,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 349,Shop Processes for Agricultural Educators,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,INTAG 100N,"Everyone Eats: Hunger, Food Security & Global Agriculture",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AGBM 101,Economic Principles of Agribusiness Decision Making,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,WFED 414,Teaching Career and Technical Education Content to Diverse Learners,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 412,Methods of Teaching Agriculture and Environmental Science,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,WFED 413,Vocational Education for Special-Needs Learners,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 350,Teaching Methods for Agricultural and Environmental Laboratories,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,EDTHP 115,Education in American Society,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 100,Agricultural Education Orientation,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,WFED 450,Cultural Diversity in the Workplace,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 313,School-Based Program Planning and Instructional Development,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 495,Internship,12,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
