Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Animal Science B.S.,ANSC 301,Principles of Animal Nutrition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,CHEM 101,Introductory Chemistry,2-3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,MICRB 201,Introductory Microbiology,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,MICRB 202,Introductory Microbiology Laboratory,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,BIOL 222,Genetics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 208,Animal Products Technology Laboratory,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 331,Physiology of Animal Reproduction,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,MICRB 107,Elementary Microbiology Laboratory,1-2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 201,Animal Science,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,MICRB 106,Elementary Microbiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,AGBM 101,Economic Principles of Agribusiness Decision Making,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,CHEM 210,Organic Chemistry I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 100,Introduction to Animal Industries,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 290,Careers in Animal Agriculture,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 300,Anatomy and Physiology of Domestic Animals,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,BMB 211,Elementary Biochemistry,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 207,Animal Products Technology,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,CHEM 130,"Introduction to General, Organic, and Biochemistry",N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,CHEM 110,Chemical Principles I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 322,Animal Genetics and Selection,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,CHEM 202,Fundamentals of Organic Chemistry I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 305,Companion Animal Nutrition,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 306,Swine Production and Management,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 308,Sheep and Goat Production and Management,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 309,Beef Cattle Production and Management,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 310,Dairy Cattle Production and Management,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 311,Poultry Production and Management,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 315,Small Animal Health and Disease,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 324,Value Determination of Meat Animals,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
Animal Science B.S.,ANSC 327,Horse Production and Management,,A,3,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
