Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Anthropological Science B.S.,STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 2N,World Archaeology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 45N,Cultural Diversity: A Global Perspective,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 21,Introductory Biological Anthropology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 321W,Intellectual Background of Archaeology,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 380,Anthropology Museum Studies,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 410,Osteology,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 411,Skeletal Forensic Anthropology,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 425,Zooarchaeology,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 426W,Archaeological Laboratory Analysis,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 427W,Forensic Archaeology,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 428,Archaeological Methods and Theory,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 432,Environmental Archaeology,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 458,Ethnographic Field Methods,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 492,Intermediate Field Methods,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
Anthropological Science B.S.,ANTH 493,Field Techniques,,A,9,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropological-science-bs/
