Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Anthropology B.A.,STAT 200,Elementary Statistics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 2N,World Archaeology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 45N,Cultural Diversity: A Global Perspective,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 21,Introductory Biological Anthropology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 321W,Intellectual Background of Archaeology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 380,Anthropology Museum Studies,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 410,Osteology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 411,Skeletal Forensic Anthropology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 421,,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 425,Zooarchaeology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 426W,Archaeological Laboratory Analysis,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 427W,Forensic Archaeology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 428,Archaeological Methods and Theory,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 429,,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 431,,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 432,Environmental Archaeology,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 458,Ethnographic Field Methods,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 492,Intermediate Field Methods,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,ANTH 493,Field Techniques,,A,6,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,Archaeology: ANTH  420-439,,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,"Biological anthropology: ANTH  400-419, ANTH  460-473",,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
Anthropology B.A.,"Human Ecology/Cultural anthropology: ANTH  440-459, ANTH  474-479",,,B,12,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/anthropology-ba/
