Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Architecture B.S.,ARCH 122,Visual Communications II,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 499B,Architectural Analysis,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 121,Visual Communications I,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,AE 211,,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 203,Materials and Building Construction I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 204,Materials and Building Construction II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,AE 210,Introduction to Architectural Structural Systems,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARTH 201,Ancient to Medieval Architecture,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,AE 421,Architectural Structural Systems I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 431,,6,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,AE 422,Architectural Structural Systems II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 132,Basic Design Studio II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 231,Architectural Design I,6,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 210,Ideas Across Time in Architecture and Urbanism,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 131,Basic Design Studio I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,AE 424,,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 332,Architectural Design IV,6,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 331,Architectural Design III,6,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARTH 202,,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 232,Architectural Design II,6,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 499A,Rome Study-Architectural Design,6,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 499C,Urban Studies,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
Architecture B.S.,ARCH 311W,Architectural and Planning Theories,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
