Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Art B.A.,ART 11,First-Year Seminar- School of Visual Arts,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 122Y,Commentary on Art,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 110,Ideas as Visual Images,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ARTH 112,Renaissance to Modern Art  1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 111,Ideas as Objects,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ARTH 111,Ancient to Medieval Art  1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 211,Introduction to Digital Art and Design Criticism,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 220,Figure Drawing,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 223,"Drawing: Techniques, Materials, and Tools",,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 230,Beginning Sculpture,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 240,Beginning Printmaking,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 250,Beginning Oil Painting,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 260,Water Media,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 280,Beginning Ceramics,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 296,Independent Studies (3 credits),,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 297,Special Topics (3 credits),,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 299,Foreign Study--Art (3 credits),,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,DART 202,2D Digital Art & Computer Graphics,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,DART 206,Web Design and Visual Web Development,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,PHOTO 100,Introduction to Photography,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,PHOTO 201,A Chronological Survey of Photography,,A,15,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
