Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Art Education B.S.,ART 11,First-Year Seminar- School of Visual Arts,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 211,Interpreting Art Experience: Social-cultural Perspectives,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 122Y,Commentary on Art,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,PSYCH 100,Introductory Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,SPLED 403B,Evidence-Based Methods for Teaching Secondary Students with Disabilities   in Inclusive Settings,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,SPLED 400,"Inclusive Special Ed Foundations: Legal, Characteristics, Collaboration, Assessment, and Management",4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ARTH 111,Ancient to Medieval Art,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 322,Visual Culture and Educational Technologies,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 110,Ideas as Visual Images,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 101S,Introduction to Art Education,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 111,Ideas as Objects,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ARTH 112,Renaissance to Modern Art,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 401,"Curricula, Pedagogy, and Assessment in Art Education",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,EDPSY 14,Learning and Instruction,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 225,"Diversity, Pedagogy, and Visual Culture",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 489,Advanced Practicum,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 211,Introduction to Digital Art and Design Criticism,,A,12,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 220,Figure Drawing,,A,12,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 223,"Drawing: Techniques, Materials, and Tools",,A,12,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
