Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Art History B.A.,ARTH 350W,Undergraduate Seminar in the History of Art,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 125,Islamic Architecture and Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 130,"Art of Africa, Oceania, and the Americas",,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 301,Egyptian and Mesopotamian Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 335,African Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 442,Late Antique and Early Christian Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH/AFR 446,Topics in African Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH/AFR 447,Topics in the Art of the African Diaspora,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 130,"Art of Africa, Oceania, and the Americas",,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 140,"Introduction to the Art and Architecture of the Mayas, Aztecs, and Incas",,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 226,The Comic Book: A History of Sequential Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH/AMST 307N,American Art and Society,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH/AMST 308N,American Architecture,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 326,Art Since 1940,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 405,Pioneers of Modern Architecture,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 415,The Skyscraper,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 416,Studies in American Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 460,"Art and Empire: Aztec, Inca and Spanish",,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 462,Studies in Latin American Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 470,Contemporary Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 120,Asian Art and Architecture,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 120Z,,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 130,"Art of Africa, Oceania, and the Americas",,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH/ASIA 215,Architecture and Art of South and Southeast Asia,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 220,Chinese Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 220Z,,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH/ASIA 440,Monuments of Asia,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 445,Oceanic Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 470,Contemporary Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 111,Ancient to Medieval Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 111U,Ancient to Medieval Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 112,Renaissance to Modern Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 112U,Renaissance to Modern Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 201,Ancient to Medieval Architecture,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 202N,Renaissance to Modern Architecture,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 204,The Art of Marvel: Italy and Spain 1600 - 1750,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH/ENGL/WMNST 225N,Sexuality and Modern Visual Culture,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 226,The Comic Book: A History of Sequential Art,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
Art History B.A.,ARTH 250/PHOTO 201,A Chronological Survey of Photography,,B,9,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-history-ba/
