Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Astronomy and Astrophysics B.S.,MATH 230,Calculus and Vector Analysis,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,MATH 251,Ordinary and Partial Differential Equations,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,PHYS 213,General Physics:  Fluids and Thermal Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ASTRO 320,Observational Astronomy Laboratory,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,PHYS 237,Introduction to Modern Physics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ASTRO 292,Astronomy of the Distant Universe,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,PHYS 214,General Physics:  Wave Motion and Quantum Physics,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ASTRO 291,Astronomical Methods and the Solar System,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
