Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Biobehavioral Health B.S.,BIOL 163,Human Anatomy and Physiology II - Lecture,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,BBH/AFAM 302,Diversity and Health,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,BBH 411W,Research and Applications in Biobehavioral Health,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,PSYCH 100,Introductory Psychology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,BBH 316,Foundations and Principles of Health Promotion,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,BIOL 161,Human Anatomy and Physiology I - Lecture,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,STAT 250,Introduction to Biostatistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,BBH 101,Introduction to Biobehavioral Health,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,STAT 200,Elementary Statistics,3-4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,BBH 311,Interdisciplinary Integration in Biobehavioral Health,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,NUTR 251,Introductory Principles of Nutrition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
Biobehavioral Health B.S.,BBH 310,Research Strategies for Studying Biobehavioral Health,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/health-human-development/biobehavioral-health-bs/
