Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Biological Engineering B.S.,BE 466W,Biological Engineering Design II,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,EMCH 211,Statics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,ME 300,Engineering Thermodynamics I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,EMCH 212,Dynamics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 305,Agricultural Measurements and Control Systems,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 302,Heat and Mass Transfer in Biological Systems,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,EDSGN 100,Cornerstone Engineering Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,EMCH 213,Strength of Materials,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 392,Leadership and Ethics for BE and ABSM Students,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 308,Engineering Elements of Biochemistry and Microbiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 391,Communication Skills for BE and ABSM Students,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 404,Engineering Properties of Food and Biological Materials,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 460W,Biological Engineering Design I,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 301,Mathematical Modeling of Biological and Physical Systems,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,MATH 231,Calculus of Several Variables,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
