Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Biology B.S.,BIOL 220W,Biology:  Populations and Communities,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 230W,Biology:  Molecules and Cells,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 230M,Honors Biology: Molecules and Cells,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 113B,Experimental Chemistry II--Bioscience,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 220M,Honors Biology: Populations and Communities,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 112H,Chemical Principles II - Honors,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 240M,Honors Biology: Function and Development of Organisms,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 110H,Chemical Principles I - Honors,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 240W,Biology:  Function and Development of Organisms,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 110,Biology:  Basic Concepts and Biodiversity,,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 110H,Honors Biology: Basic Concepts and Biodiversity,,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 110S,Biology:  Basic Concepts and Biodiversity,,A,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,MATH 140,Calculus With Analytic Geometry I,,B,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,MATH 140B,Calculus and Biology I,,B,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,MATH 140H,Honors Calculus with Analytic Geometry I,,B,4,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,STAT 200,Elementary Statistics,,C,3,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,STAT 240,Introduction to Biometry,,C,3,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,STAT 250,Introduction to Biostatistics,,C,3,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
