Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Biomedical Engineering B.S.,ENGL 30H,Honors Rhetoric and Composition,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,EMCH 210,Statics and Strength of Materials,5,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,CAS 100B,Effective Speech,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,BME 402,Biomedical Instrumentation and Measurements,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,BME 201,Fundamentals of Cells and Molecules,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,MATH 251,Ordinary and Partial Differential Equations,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,BME 429,Biomedical Mechanics and Techniques Laboratory,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
