Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Biotechnology B.S.,BMB 252,Molecular and Cell Biology II 1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,MICRB 201,Introductory Microbiology 1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,PSU 16,First-Year Seminar Science,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,BMB 211,Elementary Biochemistry,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,MICRB 202,Introductory Microbiology Laboratory,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,BMB 221,Applied Biochemistry,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,MICRB 421W,Laboratory of General and Applied Microbiology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,PHYS 251,Introductory Physics II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,PHYS 250,Introductory Physics I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,BMB 251,Molecular and Cell Biology I 1,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
Biotechnology B.S.,MICRB 410,Principles of Immunology,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biotechnology-bs/
