Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Chemical Engineering B.S.,ENGL 30H,Honors Rhetoric and Composition,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 210,Organic Chemistry I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,ENGL 202C,Effective Writing: Technical Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CAS 100B,Effective Speech,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 480W,Chemical Engineering Laboratory,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 113,Experimental Chemistry II,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 210,Introduction to Material Balances,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,BMB 251,Molecular and Cell Biology I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 410,Mass Transfer Operations,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 320,Phase and Chemical Equilibria,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,ENGL 15,Rhetoric and Composition,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,MATH 251,Ordinary and Partial Differential Equations,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 330,Process Fluid Mechanics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 340,Introduction to Biomolecular Engineering,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 220,Introduction to Chemical Engineering Thermodynamics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 213,Laboratory in Organic Chemistry,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 110,Chemical Principles I,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 212,Organic Chemistry II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 457,Experimental Physical Chemistry,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 452,Chemical Process Safety,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 112,Chemical Principles II,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,EDSGN 100,Cornerstone Engineering Design,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 300,Professional Development Seminar,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 111,Experimental Chemistry I,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 430,Chemical Reaction Engineering,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 470,Design of Chemical Plants,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,PHYS 211,General Physics:  Mechanics,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 230,Computational Tools for Chemical Engineering,1,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,PHYS 212,General Physics:  Electricity and Magnetism,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 350,Process Heat Transfer,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,MATH 231,Calculus of Several Variables,2,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CAS 100A,Effective Speech,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,ECON 14,Principles of Economics,,A,1,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,,A,1,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
